"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","960","[ARE-UI-003] should the Add button be enabled","Add/Remove Elements","2026-01-06","passed","2026-01-06","","UI validation","",""
"","1047","[ARE-EC-006] should handle double click on Add button","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","1397","[ARE-EC-007] should maintain state after browser back and forward","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","920","[ARE-EC-001] should not throw error when clicking Delete if it does not exist","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","929","[CB-UI-002] should display both checkboxes as visible","Checkboxes","2026-01-06","passed","2026-01-06","","UI validation","",""
"","960","[ARE-UI-002] should display the Add button","Add/Remove Elements","2026-01-06","passed","2026-01-06","","UI validation","",""
"","16057","[ARE-EC-004] should handle adding a large number of elements","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","945","[CB-UI-001] should open the Checkboxes page","Checkboxes","2026-01-06","passed","2026-01-06","","UI validation","",""
"","1031","[ARE-UI-001] should open the Add/Remove Elements page","Add/Remove Elements","2026-01-06","passed","2026-01-06","","UI validation","",""
"","2448","[ARE-EC-002] should handle rapid clicks on Add button","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","899","[CB-UI-003] should display both checkboxes as enabled","Checkboxes","2026-01-06","passed","2026-01-06","","UI validation","",""
"","1082","[ARE-BI-001] should display the Delete button when the Add button is clicked","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Button interaction","",""
"","1082","[CB-EC-001] should check and uncheck checkbox 1 without affecting checkbox 2","Checkboxes","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","1413","[ARE-BI-002] should display the Delete button as many times as the Add button is clicked","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Button interaction","",""
"","939","[CB-UI-005] should display checkbox 1 unchecked and checkbox 2 checked by default","Checkboxes","2026-01-06","passed","2026-01-06","","UI validation","",""
"","898","[CB-UI-004] should verify checkbox labels text","Checkboxes","2026-01-06","passed","2026-01-06","","UI validation","",""
"","1071","[CB-CI-003] should check checkbox 1 and uncheck checkbox 2 successfully","Checkboxes","2026-01-06","passed","2026-01-06","","Checkboxes interaction","",""
"","1172","[CB-EC-005] should maintain state after page refresh","Checkboxes","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","1120","[ARE-UI-005] should the Delete button be enabled","Add/Remove Elements","2026-01-06","passed","2026-01-06","","UI validation","",""
"","1576","[ARE-PS-002] should clear state when navigating away and back","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Page state","",""
"","1094","[CB-EC-006] should handle keyboard interaction with Space key","Checkboxes","2026-01-06","failed","2026-01-06","","Edge cases","",""
"","1822","[ARE-EC-005] should delete specific button from middle of list","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","1072","[CB-CI-001] should check and uncheck checkbox 1 successfully","Checkboxes","2026-01-06","passed","2026-01-06","","Checkboxes interaction","",""
"","2432","[ARE-EC-003] should handle adding and deleting simultaneously","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","1295","[CB-EC-004] should alternate state correctly after multiple consecutive clicks on checkbox 2","Checkboxes","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","1832","[ARE-BI-004] should remove all Delete buttons when all of them are clicked","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Button interaction","",""
"","1098","[CB-EC-002] should uncheck and check checkbox 2 without affecting checkbox 1","Checkboxes","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","1326","[CB-EC-003] should alternate state correctly after multiple consecutive clicks on checkbox 1","Checkboxes","2026-01-06","passed","2026-01-06","","Edge cases","",""
"","1074","[CB-CI-002] should uncheck and check checkbox 2 successfully","Checkboxes","2026-01-06","passed","2026-01-06","","Checkboxes interaction","",""
"","1136","[ARE-UI-004] should display correct button texts","Add/Remove Elements","2026-01-06","passed","2026-01-06","","UI validation","",""
"","1541","[ARE-BI-003] should decrease the total of Delete buttons when a Delete button is clicked","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Button interaction","",""
"","1422","[ARE-PS-001] should clear the page when it is refreshed","Add/Remove Elements","2026-01-06","passed","2026-01-06","","Page state","",""
